bldg_id,in.sqft,in.area_median_income,in.battery,in.bedrooms,in.ceiling_fan,in.clothes_dryer,in.clothes_dryer_usage_level,in.clothes_washer,in.clothes_washer_presence,in.clothes_washer_usage_level,in.cooking_range,in.cooking_range_usage_level,in.cooling_setpoint,in.cooling_setpoint_has_offset,in.cooling_setpoint_offset_magnitude,in.cooling_setpoint_offset_period,in.corridor,in.dishwasher,in.dishwasher_usage_level,in.door_area,in.duct_leakage_and_insulation,in.duct_location,in.federal_poverty_level,in.geometry_attic_type,in.geometry_building_horizontal_location_mf,in.geometry_building_horizontal_location_sfa,in.geometry_building_level_mf,in.geometry_building_number_units_mf,in.geometry_building_number_units_sfa,in.geometry_building_type_recs,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_foundation_type,in.geometry_garage,in.geometry_stories,in.geometry_stories_low_rise,in.geometry_story_bin,in.geometry_wall_exterior_finish,in.geometry_wall_type,in.has_pv,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.holiday_lighting,in.hot_water_distribution,in.hot_water_fixtures,in.household_has_tribal_persons,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_has_ducts,in.hvac_has_shared_system,in.hvac_has_zonal_electric_heating,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_shared_efficiencies,in.income_recs_2020,in.infiltration,in.insulation_ceiling,in.insulation_floor,in.insulation_foundation_wall,in.insulation_rim_joist,in.insulation_roof,in.insulation_slab,in.insulation_wall,in.interior_shading,in.lighting,in.lighting_interior_use,in.lighting_other_use,in.mechanical_ventilation,in.misc_extra_refrigerator,in.misc_freezer,in.misc_gas_fireplace,in.misc_gas_grill,in.misc_gas_lighting,in.misc_hot_tub_spa,in.misc_pool,in.misc_pool_heater,in.misc_pool_pump,in.misc_well_pump,in.natural_ventilation,in.neighbors,in.occupants,in.orientation,in.overhangs,in.plug_load_diversity,in.plug_loads,in.pv_orientation,in.pv_system_size,in.radiant_barrier,in.refrigerator,in.refrigerator_usage_level,in.roof_material,in.solar_hot_water,in.tenure,in.usage_level,in.vacancy_status,in.vintage,in.vintage_acs,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.window_areas,in.windows,in.representative_income,out.site_energy.total.energy_consumption.kwh
57119,3310,150%+,,5,Standard Efficiency,Electric,80% Usage,EnergyStar,Yes,80% Usage,Electric Resistance,80% Usage,60F,Yes,2F,Day and Night Setup -5h,Not Applicable,318 Rated kWh,80% Usage,20 ft^2,"20% Leakage to Outside, Uninsulated",Unheated Basement,400%+,Unvented Attic,,,,,,Single-Family Detached,3000-3999,2500-3999,Unheated Basement,,2,2,<8,"Stucco, Light",Wood Frame,No,Other Fuel,75F,Yes,6F,Day and Night -2h,No Exterior Use,Uninsulated,50% Usage,No,"Room AC, EER 10.7",<10% Conditioned,Room AC,Yes,,No,"Fuel Furnace, 60% AFUE",Ducted Heating,Other Fuel Fuel Furnace,,150000+,20 ACH50,R-19,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,3,Southeast,,0.5,1.01,,,No,EF 19.9,95% Usage,Composition Shingles,,Owner,Low,Occupied,<1940,<1940,Fuel Oil Premium,Fuel Oil,Yes,F6 B6 L6 R6,"Double, Clear, Non-metal, Air, Exterior Clear Storm",267342,9834.29283069908
57646,623,80-100%,,2,Standard Efficiency,,80% Usage,,,80% Usage,Gas,80% Usage,70F,Yes,5F,Night Setup,Double-Loaded Interior,,80% Usage,20 ft^2,"0% Leakage to Outside, Uninsulated",Living Space,300-400%,,Left,,Bottom,4.0,,Multi-Family with 2 - 4 Units,500-749,0-1499,Slab,,2,2,<8,"Vinyl, Light",Wood Frame,No,Natural Gas,72F,Yes,3F,Night,No Exterior Use,Uninsulated,50% Usage,No,"Room AC, EER 10.7",80% Conditioned,Room AC,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,40000-59999,25 ACH50,,,,,"Finished, R-7",Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% CFL,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",7,2,Southwest,,0.5,1.19,,,,EF 19.9,95% Usage,"Tile, Concrete",,Renter,Low,Occupied,1940s,1940-59,Electric Standard,Electricity,Yes,F12 B12 L12 R12,"Single, Clear, Non-metal",55104,20564.5039229146
57693,1698,120-150%,,3,Standard Efficiency,Electric,120% Usage,Standard,Yes,120% Usage,Propane,120% Usage,76F,Yes,5F,Night Setup +3h,Not Applicable,318 Rated kWh,120% Usage,20 ft^2,"0% Leakage to Outside, Uninsulated",Heated Basement,400%+,Vented Attic,,,,,,Single-Family Detached,1500-1999,1500-2499,Heated Basement,2 Car,1,1,<8,"Vinyl, Light",Wood Frame,No,Propane,65F,No,0F,,No Exterior Use,Uninsulated,200% Usage,No,"AC, SEER 13",100% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,60000-99999,15 ACH50,R-49,Uninsulated,"Wall R-10, Exterior","R-10, Exterior","Unfinished, Uninsulated",,"Wood Stud, R-19","Summer = 0.7, Winter = 0.85",100% CFL,100% Usage,100% Usage,,,,,,,,,,,Typical Efficiency,"Cooling Season, 7 days/wk",Left/Right at 15ft,2,South,,2.0,1.01,,,No,EF 19.9,105% Usage,Composition Shingles,,Owner,High,Occupied,2010s,2010s,Propane Tankless,Propane,Yes,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",89096,30324.9428439303
58658,1698,120-150%,,3,Standard Efficiency,Gas,120% Usage,EnergyStar,Yes,120% Usage,Gas,120% Usage,68F,Yes,9F,Day Setup +1h,Not Applicable,318 Rated kWh,120% Usage,20 ft^2,"10% Leakage to Outside, Uninsulated",Crawlspace,400%+,,,,,,,Single-Family Detached,1500-1999,1500-2499,Vented Crawlspace,,1,1,<8,"Vinyl, Light",Wood Frame,No,Natural Gas,70F,No,0F,,No Exterior Use,Uninsulated,200% Usage,No,"Room AC, EER 10.7",20% Conditioned,Room AC,Yes,,No,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,60000-99999,50 ACH50,,Uninsulated,Uninsulated,Uninsulated,"Finished, R-30",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% Incandescent,100% Usage,100% Usage,,EF 6.7,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,2,Southwest,,2.0,1.01,,,No,EF 17.6,105% Usage,"Asphalt Shingles, Medium",,Owner,High,Occupied,1960s,1960-79,Natural Gas Standard,Natural Gas,Yes,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",89096,82226.36401608
58681,3310,100-120%,,3,Standard Efficiency,Propane,80% Usage,EnergyStar,Yes,80% Usage,Electric Resistance,80% Usage,76F,No,0F,,Not Applicable,290 Rated kWh,80% Usage,20 ft^2,"0% Leakage to Outside, Uninsulated",Heated Basement,200-300%,Vented Attic,,,,,,Single-Family Detached,3000-3999,2500-3999,Heated Basement,1 Car,2,2,<8,"Vinyl, Light",Wood Frame,No,Propane,68F,Yes,3F,Night -2h,No Exterior Use,Uninsulated,50% Usage,No,"AC, SEER 13",80% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Propane Fuel Furnace,,60000-99999,15 ACH50,R-38,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,5,Northeast,,0.5,1.01,,,No,EF 17.6,95% Usage,"Asphalt Shingles, Medium",,Owner,Low,Occupied,<1940,<1940,Propane Standard,Propane,Yes,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",85012,71745.2633335108
59156,2678,120-150%,,3,Standard Efficiency,Electric,100% Usage,Standard,Yes,100% Usage,Gas,100% Usage,75F,No,0F,,Not Applicable,290 Rated kWh,100% Usage,20 ft^2,"30% Leakage to Outside, Uninsulated",Crawlspace,400%+,Vented Attic,,,,,,Single-Family Detached,2500-2999,2500-3999,Vented Crawlspace,,2,2,<8,"Vinyl, Light",Wood Frame,No,Natural Gas,72F,No,0F,,No Exterior Use,Uninsulated,100% Usage,No,,,,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,100000-149999,15 ACH50,R-38,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,EF 6.7,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,4,East,,1.0,1.01,,,No,EF 19.9,100% Usage,Composition Shingles,,Owner,Medium,Occupied,<1940,<1940,Natural Gas Standard,Natural Gas,Yes,F15 B15 L15 R15,"Double, Clear, Non-metal, Air",110733,116360.644630108
61315,5587,120-150%,,5,,Electric,100% Usage,Standard,Yes,100% Usage,Electric Resistance,100% Usage,60F,No,0F,,Not Applicable,290 Rated kWh,100% Usage,20 ft^2,"20% Leakage to Outside, Uninsulated",Unheated Basement,400%+,Finished Attic or Cathedral Ceilings,,,,,,Single-Family Detached,4000+,4000+,Unheated Basement,2 Car,2,2,<8,"Vinyl, Light",Wood Frame,No,Fuel Oil,72F,No,0F,,No Exterior Use,Uninsulated,100% Usage,No,"Room AC, EER 10.7",20% Conditioned,Room AC,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,100000-149999,7 ACH50,,Uninsulated,Uninsulated,Uninsulated,"Finished, R-38",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,5,Southwest,,1.0,1.01,,,No,EF 19.9,100% Usage,Composition Shingles,,Owner,Medium,Occupied,<1940,<1940,Natural Gas Standard,Natural Gas,Yes,F15 B15 L15 R15,"Double, Clear, Non-metal, Air, Exterior Clear Storm",149501,92876.2736350684
62164,3310,60-80%,,3,,Gas,120% Usage,Standard,Yes,120% Usage,Gas,120% Usage,72F,No,0F,,Not Applicable,,120% Usage,20 ft^2,"20% Leakage to Outside, Uninsulated",Unheated Basement,200-300%,,,,,,,Single-Family Detached,3000-3999,2500-3999,Unheated Basement,,2,2,<8,"Vinyl, Light",Wood Frame,No,Natural Gas,68F,No,0F,,No Exterior Use,Uninsulated,200% Usage,No,"AC, SEER 15",100% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,20000-39999,20 ACH50,,Uninsulated,Uninsulated,Uninsulated,"Finished, R-38",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% CFL,100% Usage,100% Usage,,,,,,,,,,,Typical Efficiency,"Cooling Season, 7 days/wk",Left/Right at 15ft,2,Southeast,,2.0,1.01,,,No,EF 19.9,105% Usage,"Asphalt Shingles, Medium",,Owner,High,Occupied,<1940,<1940,Natural Gas Standard,Natural Gas,Yes,F6 B6 L6 R6,"Single, Clear, Non-metal",37492,109709.10362148
62706,1698,150%+,,2,,Electric,100% Usage,Standard,Yes,100% Usage,Gas,100% Usage,68F,No,0F,,Not Applicable,318 Rated kWh,100% Usage,20 ft^2,"0% Leakage to Outside, Uninsulated",Living Space,400%+,,,,,,,Single-Family Detached,1500-1999,1500-2499,Slab,,1,1,<8,"Wood, Medium/Dark",Wood Frame,No,Natural Gas,68F,No,0F,,No Exterior Use,Uninsulated,100% Usage,No,"AC, SEER 13",100% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,60000-99999,15 ACH50,,,,,"Finished, R-13",Uninsulated,"Wood Stud, R-19","Summer = 0.7, Winter = 0.85",100% Incandescent,100% Usage,100% Usage,,EF 17.6,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,1,Southeast,,1.0,1.01,,,No,EF 17.6,100% Usage,Composition Shingles,,Owner,Medium,Occupied,1980s,1980-99,Natural Gas Standard,Natural Gas,Yes,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",74751,30871.5203898015
63725,2678,150%+,,3,,Electric,100% Usage,Standard,Yes,100% Usage,Propane,100% Usage,72F,No,0F,,Not Applicable,290 Rated kWh,100% Usage,20 ft^2,"10% Leakage to Outside, R-6",Crawlspace,400%+,,,,,,,Single-Family Detached,2500-2999,2500-3999,Vented Crawlspace,2 Car,2,2,<8,"Brick, Medium/Dark",Wood Frame,No,Propane,70F,Yes,3F,Night +1h,No Exterior Use,Uninsulated,100% Usage,No,"AC, SEER 13",80% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Propane Fuel Furnace,,100000-149999,4 ACH50,,Ceiling R-19,Uninsulated,Uninsulated,"Finished, R-38",,"Wood Stud, R-19","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,EF 21.9,,,,,,,,,Typical Efficiency,"Cooling Season, 7 days/wk",Left/Right at 15ft,2,West,,1.0,1.01,,,No,EF 19.9,100% Usage,Composition Shingles,,Owner,Medium,Occupied,2010s,2010s,Propane Standard,Propane,Yes,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",108692,34898.3168939678
64522,1138,Not Available,,2,"Standard Efficiency, No usage",Gas,80% Usage,Standard,Yes,80% Usage,Gas,80% Usage,67F,No,0F,,Double-Loaded Interior,,80% Usage,20 ft^2,"10% Leakage to Outside, Uninsulated",Unheated Basement,Not Available,,Not Applicable,,Bottom,2.0,,Multi-Family with 2 - 4 Units,1000-1499,0-1499,Unheated Basement,,2,2,<8,,Brick,No,Natural Gas,55F,Yes,3F,Night -5h,No Exterior Use,Uninsulated,50% Usage,Not Available,"Room AC, EER 12.0",40% Conditioned,Room AC,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,Not Available,30 ACH50,,Uninsulated,Uninsulated,Uninsulated,"Finished, R-38",,"Brick, 12-in, 3-wythe, Uninsulated","Summer = 0.7, Winter = 0.85",100% CFL,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",12,0,East,,0.5,1.19,,,,EF 19.9,95% Usage,Composition Shingles,,Not Available,Low,Vacant,<1940,<1940,Natural Gas Standard,Natural Gas,Yes,F12 B12 L12 R12,"Single, Clear, Non-metal",0,20544.5750901429
65333,3310,120-150%,,5,,Electric,120% Usage,EnergyStar,Yes,120% Usage,Electric Resistance,120% Usage,70F,No,0F,,Not Applicable,,120% Usage,20 ft^2,"0% Leakage to Outside, Uninsulated",Heated Basement,300-400%,Vented Attic,,,,,,Single-Family Detached,3000-3999,2500-3999,Heated Basement,,2,2,<8,"Vinyl, Light",Wood Frame,No,Other Fuel,68F,No,0F,,No Exterior Use,Uninsulated,200% Usage,No,"AC, SEER 13",100% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 60% AFUE",Ducted Heating,Other Fuel Fuel Furnace,,100000-149999,15 ACH50,R-38,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,5,Northeast,,2.0,1.01,,,No,EF 6.7,105% Usage,Composition Shingles,,Owner,High,Occupied,<1940,<1940,Fuel Oil Standard,Fuel Oil,Yes,F12 B12 L12 R12,"Single, Clear, Non-metal",109096,30166.6844660373
65865,2678,60-80%,,4,Standard Efficiency,Electric,80% Usage,Standard,Yes,80% Usage,Electric Resistance,80% Usage,72F,No,0F,,Not Applicable,,80% Usage,20 ft^2,"20% Leakage to Outside, Uninsulated",Unheated Basement,200-300%,,,,,,,Single-Family Detached,2500-2999,2500-3999,Unheated Basement,,2,2,<8,"Vinyl, Light",Wood Frame,No,Natural Gas,72F,No,0F,,No Exterior Use,Uninsulated,50% Usage,No,"AC, SEER 13",100% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,40000-59999,30 ACH50,,Uninsulated,Uninsulated,Uninsulated,"Finished, R-19",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% Incandescent,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,4,Northeast,,0.5,1.01,,,No,EF 19.9,95% Usage,Composition Shingles,,Renter,Low,Occupied,<1940,<1940,Natural Gas Standard,Natural Gas,Yes,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",55558,128497.596859151
66159,322,0-30%,,1,,,100% Usage,,,100% Usage,Electric Resistance,100% Usage,72F,No,0F,,Double-Loaded Interior,,100% Usage,20 ft^2,,,0-100%,,Middle,,Middle,24.0,,Multi-Family with 5+ Units,0-499,0-1499,Unheated Basement,,3,3,<8,"Brick, Medium/Dark",Wood Frame,No,Electricity,60F,Yes,3F,Night +4h,No Exterior Use,Uninsulated,100% Usage,No,Shared Cooling,100% Conditioned,Central AC,No,Cooling Only,Yes,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,Fan Coil Cooling Only,<20000,15 ACH50,,Ceiling R-19,Uninsulated,Uninsulated,"Finished, R-30",,"Wood Stud, R-11","Summer = 0.7, Winter = 0.85",100% Incandescent,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",27,1,West,,1.0,0.89,,,,EF 19.9,100% Usage,"Asphalt Shingles, Medium",,Renter,Medium,Occupied,1980s,1980-99,Natural Gas Standard,Natural Gas,No,F12 B12 L12 R12,"Single, Clear, Non-metal",4849,6358.17686738636
68088,2179,150%+,,3,Standard Efficiency,Electric,100% Usage,EnergyStar,Yes,100% Usage,Electric Resistance,100% Usage,75F,No,0F,,Not Applicable,290 Rated kWh,100% Usage,20 ft^2,"20% Leakage to Outside, R-4",Garage,400%+,,,,,,,Single-Family Detached,2000-2499,1500-2499,Slab,2 Car,1,1,<8,"Shingle, Composition, Medium",Wood Frame,No,Fuel Oil,70F,Yes,3F,Day and Night +3h,No Exterior Use,Uninsulated,100% Usage,No,"AC, SEER 13",100% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,150000+,20 ACH50,,,,,"Finished, R-13",Uninsulated,"Wood Stud, R-11","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,,,,,,Electricity,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,2,North,,1.0,1.01,,,No,EF 19.9,100% Usage,Composition Shingles,,Owner,Medium,Occupied,1980s,1980-99,Fuel Oil Standard,Fuel Oil,Yes,F15 B15 L15 R15,"Triple, Low-E, Non-metal, Air, L-Gain",280058,57502.5954652812
69315,3310,100-120%,,4,,Propane,120% Usage,EnergyStar,Yes,120% Usage,Propane,120% Usage,68F,No,0F,,Not Applicable,318 Rated kWh,120% Usage,20 ft^2,"20% Leakage to Outside, R-8",Garage,400%+,,,,,,,Single-Family Detached,3000-3999,2500-3999,Slab,2 Car,2,2,<8,"Vinyl, Light",Wood Frame,No,Propane,70F,Yes,6F,Night -4h,No Exterior Use,Uninsulated,200% Usage,No,"AC, SEER 15",80% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,100000-149999,2 ACH50,,,,,"Finished, R-13","2ft R5 Under, Horizontal","Wood Stud, R-19","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,EF 6.7,,,,,,,,,Typical Efficiency,"Cooling Season, 7 days/wk",Left/Right at 15ft,5,Northeast,,2.0,1.01,,,No,EF 17.6,105% Usage,"Asphalt Shingles, Medium",,Owner,High,Occupied,2000s,2000-09,Electric Standard,Electricity,Yes,F15 B15 L15 R15,"Double, Clear, Non-metal, Air",129611,54851.1814934331
69878,854,60-80%,,2,Standard Efficiency,,120% Usage,,,120% Usage,Electric Resistance,120% Usage,65F,No,0F,,Double-Loaded Interior,318 Rated kWh,120% Usage,20 ft^2,,,200-300%,,Not Applicable,,Bottom,2.0,,Multi-Family with 2 - 4 Units,750-999,0-1499,Unheated Basement,,2,2,<8,"Shingle, Composition, Medium",Wood Frame,No,Electricity,75F,No,0F,,No Exterior Use,Uninsulated,200% Usage,No,,,,No,Heating Only,No,Shared Heating,Non-Ducted Heating,Electricity Shared Heating,"Boiler Baseboards Heating Only, Electricity",40000-59999,15 ACH50,,Ceiling R-19,Uninsulated,Uninsulated,"Finished, R-38",,"Wood Stud, R-19","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,,,,,,,,,,,"Cooling Season, 7 days/wk",4,2,Southeast,,2.0,1.19,,,,EF 19.9,105% Usage,Wood Shingles,,Renter,High,Occupied,1990s,1980-99,Electric Standard,Electricity,Yes,F15 B15 L15 R15,"Double, Clear, Metal, Air",50507,21011.1442338571
70027,3310,150%+,,3,Standard Efficiency,Electric,80% Usage,Standard,Yes,80% Usage,Gas,80% Usage,70F,Yes,2F,Night Setup +1h,Not Applicable,318 Rated kWh,80% Usage,20 ft^2,"30% Leakage to Outside, Uninsulated",Unheated Basement,400%+,,,,,,,Single-Family Detached,3000-3999,2500-3999,Unheated Basement,,2,2,<8,"Brick, Medium/Dark",Wood Frame,No,Fuel Oil,72F,No,0F,,No Exterior Use,Uninsulated,50% Usage,No,,,,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,150000+,15 ACH50,,Uninsulated,Uninsulated,Uninsulated,"Finished, R-19",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,,,,,,,,,,Typical Efficiency,"Cooling Season, 7 days/wk",Left/Right at 15ft,4,South,,0.5,1.01,,,No,EF 19.9,95% Usage,"Asphalt Shingles, Medium",,Owner,Low,Occupied,<1940,<1940,Electric Premium,Electricity,Yes,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",189083,102687.413851223
70079,634,Not Available,,2,"Standard Efficiency, No usage",Electric,100% Usage,Standard,Yes,100% Usage,Gas,100% Usage,72F,No,0F,,Not Applicable,290 Rated kWh,100% Usage,20 ft^2,"30% Leakage to Outside, Uninsulated",Unheated Basement,Not Available,Vented Attic,,,,,,Single-Family Detached,500-749,0-1499,Unheated Basement,,2,2,<8,"Vinyl, Light",Wood Frame,No,Natural Gas,55F,No,0F,,No Exterior Use,Uninsulated,100% Usage,Not Available,"AC, SEER 10",100% Conditioned,Central AC,Yes,,No,"Fuel Wall/Floor Furnace, 68% AFUE",Non-Ducted Heating,Natural Gas Fuel Wall/Floor Furnace,,Not Available,20 ACH50,R-30,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% Incandescent,100% Usage,100% Usage,,EF 17.6,"EF 12, National Average",,,,,Has Pool,Electricity,1.0 HP Pump,,"Cooling Season, 7 days/wk",Left/Right at 15ft,0,North,,1.0,1.01,,,No,EF 19.9,100% Usage,Composition Shingles,,Not Available,Medium,Vacant,<1940,<1940,Natural Gas Standard,Natural Gas,Yes,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",0,21482.6955857642
70312,1228,Not Available,,3,"Standard Efficiency, No usage",Electric,80% Usage,Standard,Yes,80% Usage,Gas,80% Usage,75F,No,0F,,Not Applicable,,80% Usage,20 ft^2,"0% Leakage to Outside, Uninsulated",Heated Basement,Not Available,Vented Attic,,,,,,Single-Family Detached,1000-1499,0-1499,Heated Basement,1 Car,1,1,<8,"Wood, Medium/Dark",Wood Frame,No,Natural Gas,55F,No,0F,,No Exterior Use,Uninsulated,50% Usage,Not Available,"Room AC, EER 12.0",20% Conditioned,Room AC,Yes,,No,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,Not Available,15 ACH50,R-38,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% Incandescent,100% Usage,100% Usage,,,,,,,,Has Pool,Natural Gas,1.0 HP Pump,,"Cooling Season, 7 days/wk",Left/Right at 15ft,0,Southeast,,0.5,1.01,,,No,EF 19.9,95% Usage,Wood Shingles,,Not Available,Low,Vacant,1960s,1960-79,Natural Gas Standard,Natural Gas,Yes,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",0,18285.5832812554
71034,1698,60-80%,,3,Standard Efficiency,Electric,80% Usage,Standard,Yes,80% Usage,Gas,80% Usage,72F,No,0F,,Not Applicable,,80% Usage,20 ft^2,"20% Leakage to Outside, Uninsulated",Crawlspace,200-300%,Vented Attic,,,,,,Single-Family Detached,1500-1999,1500-2499,Vented Crawlspace,,1,1,<8,"Vinyl, Light",Wood Frame,No,Natural Gas,70F,No,0F,,No Exterior Use,Uninsulated,50% Usage,No,"AC, SEER 15",100% Conditioned,Central AC,Yes,,No,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,40000-59999,40 ACH50,R-13,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,,"EF 12, National Average",Gas Fireplace,,,,Has Pool,,1.0 HP Pump,,"Cooling Season, 7 days/wk",Left/Right at 15ft,2,Southeast,,0.5,1.01,,,No,EF 21.9,95% Usage,"Asphalt Shingles, Medium",,Owner,Low,Occupied,1950s,1940-59,Natural Gas Standard,Natural Gas,Yes,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",42426,91932.877860184
71681,1228,100-120%,,3,Standard Efficiency,Electric,100% Usage,EnergyStar,Yes,100% Usage,Gas,100% Usage,70F,No,0F,,Not Applicable,,100% Usage,20 ft^2,,,400%+,Vented Attic,,,,,,Single-Family Detached,1000-1499,0-1499,Unheated Basement,,2,2,<8,"Stucco, Light",Wood Frame,No,Fuel Oil,70F,Yes,3F,Night -4h,No Exterior Use,Uninsulated,100% Usage,No,"Room AC, EER 10.7",40% Conditioned,Room AC,No,,No,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Fuel Oil Fuel Wall/Floor Furnace,,60000-99999,20 ACH50,R-19,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.85",100% LED,100% Usage,100% Usage,,EF 17.6,"EF 12, National Average",,,Gas Lighting,,,,,,"Cooling Season, 7 days/wk",Left/Right at 15ft,2,South,,1.0,1.01,,,No,EF 17.6,100% Usage,Composition Shingles,,Owner,Medium,Occupied,<1940,<1940,Natural Gas Standard,Natural Gas,Yes,F18 B18 L18 R18,"Single, Clear, Non-metal",68718,67214.6776597184
