,in.geometry_floor_area,in.heating_fuel,in.insulation_wall,in.heating_setpoint,in.representative_income,in.infiltration,in.duct_leakage_and_insulation,in.hvac_heating_type,in.tenure,in.vintage,in.cooling_setpoint,bldg_id,in.geometry_foundation_type,in.hvac_heating_efficiency,in.occupants,in.refrigerator,in.water_heater_efficiency,in.bedrooms,in.window_areas,in.windows,out.site_energy.total.energy_consumption.kwh,in.geometry_building_type_recs,in.geometry_stories,in.geometry_building_number_units_mf,in.vintage_acs,in.hvac_cooling_type,in.geometry_wall_type,in.roof_material,in.geometry_garage,in.geometry_attic_type
10,1000-1499,Other Fuel,"Wood Stud, Uninsulated",70F,16639,30 ACH50,,Non-Ducted Heating,Owner,<1940,75F,11458,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",1,EF 19.9,Electric Standard,3,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",5799.29033656793,Single-Family Detached,2,,<1940,Room AC,Wood Frame,Composition Shingles,,Vented Attic
11,2000-2499,Natural Gas,"Wood Stud, R-11",70F,92315,4 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,76F,11490,Unvented Crawlspace,"Fuel Furnace, 80% AFUE",3,EF 17.6,Electric Standard,2,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",49227.1476568281,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
12,1500-1999,Natural Gas,"Wood Stud, R-11",68F,189249,10 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,70F,12342,Heated Basement,"Fuel Furnace, 92.5% AFUE",3,EF 19.9,Electric Standard,3,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",28310.3723075664,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,
13,1500-1999,Natural Gas,"Wood Stud, Uninsulated",70F,74877,10 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Owner,1950s,72F,13761,Slab,"Fuel Furnace, 80% AFUE",2,EF 17.6,Natural Gas Standard,2,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",45219.6938432932,Single-Family Detached,1,,1940-59,Room AC,Wood Frame,Composition Shingles,2 Car,
14,3000-3999,Fuel Oil,"Wood Stud, Uninsulated",55F,0,10 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1940s,75F,15799,Unheated Basement,"Fuel Furnace, 92.5% AFUE",0,EF 17.6,Electric Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air, Exterior Clear Storm",24568.1478125373,Single-Family Detached,1,,1940-59,Central AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,
15,750-999,Electricity,"Wood Stud, R-19",65F,42184,15 ACH50,,Non-Ducted Heating,Renter,1980s,80F,15812,Slab,"Electric Baseboard, 100% Efficiency",1,EF 19.9,Natural Gas Standard,1,F18 B18 L18 R18,"Single, Clear, Non-metal",11536.7426773295,Multi-Family with 5+ Units,2,8.0,1980-99,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
16,500-749,Natural Gas,"Wood Stud, Uninsulated",55F,0,20 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,<1940,75F,17024,Heated Basement,"Fuel Furnace, 92.5% AFUE",0,EF 17.6,Electric Standard,2,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",11460.2511280145,Single-Family Detached,2,,<1940,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
17,2500-2999,Electricity,"Wood Stud, R-19",68F,149501,7 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,2000s,70F,17320,Heated Basement,"Electric Furnace, 100% AFUE",2,EF 17.6,Electric Standard,1,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",22114.5568130555,Single-Family Detached,1,,2000-09,Central AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
18,1000-1499,Propane,"Wood Stud, Uninsulated",70F,89096,20 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,70F,19791,Unheated Basement,"Fuel Furnace, 92.5% AFUE",2,EF 19.9,Electric Premium,4,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",59821.666843554,Single-Family Detached,1,,<1940,Central AC,Wood Frame,Wood Shingles,1 Car,Vented Attic
19,2000-2499,Natural Gas,"Wood Stud, Uninsulated",68F,42426,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1940s,70F,21336,Vented Crawlspace,"Fuel Furnace, 92.5% AFUE",2,EF 17.6,Electric Standard,2,F12 B12 L12 R12,"Double, Clear, Non-metal, Air, Exterior Clear Storm",62136.049084704,Single-Family Detached,1,,1940-59,Room AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
20,1000-1499,Electricity,"Wood Stud, R-11",55F,0,15 ACH50,,Non-Ducted Heating,Not Available,1980s,70F,22641,Unheated Basement,"Electric Baseboard, 100% Efficiency",0,EF 15.9,Electric Premium,3,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",4686.20641205383,Multi-Family with 5+ Units,2,7.0,1980-99,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
21,2000-2499,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",70F,4849,20 ACH50,,Ducted Heating,Renter,<1940,70F,23173,Unheated Basement,Shared Heating,1,,Natural Gas Standard,1,F30 B30 L30 R30,"Single, Clear, Metal",45796.4577093921,Multi-Family with 2 - 4 Units,2,4.0,<1940,Room AC,Brick,"Tile, Clay or Ceramic",,
22,1000-1499,Natural Gas,"Wood Stud, Uninsulated",70F,63747,20 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Owner,1960s,72F,25421,Slab,"Fuel Furnace, 80% AFUE",2,EF 19.9,Natural Gas Premium,2,F15 B15 L15 R15,"Single, Clear, Non-metal",45263.9475748892,Single-Family Detached,1,,1960-79,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
23,3000-3999,Propane,"Wood Stud, Uninsulated",67F,108692,15 ACH50,"30% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,<1940,72F,26864,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 19.9,Electric Premium,4,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",109212.055086468,Single-Family Detached,2,,<1940,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Unvented Attic
24,4000+,Fuel Oil,"Wood Stud, Uninsulated",60F,42184,5 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,75F,31170,Heated Basement,"Fuel Furnace, 80% AFUE",1,EF 6.7,Electric Premium,4,F12 B12 L12 R12,"Single, Clear, Non-metal",66717.6291247064,Single-Family Detached,2,,<1940,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
25,2000-2499,Other Fuel,"Wood Stud, R-11",70F,108692,10 ACH50,,Non-Ducted Heating,Owner,2000s,70F,31375,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 17.6,FIXME Fuel Oil Indirect,4,F15 B15 L15 R15,"Triple, Low-E, Non-metal, Air, L-Gain",11038.5218580367,Single-Family Detached,1,,2000-09,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
26,1500-1999,Natural Gas,"Wood Stud, R-11",80F,4229,15 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Renter,1980s,78F,31538,Slab,"Fuel Furnace, 92.5% AFUE",3,EF 17.6,Natural Gas Standard,4,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",70531.3629608575,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,Vented Attic
27,3000-3999,Other Fuel,"Wood Stud, Uninsulated",68F,89096,25 ACH50,,Non-Ducted Heating,Owner,<1940,70F,32880,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 21.9,Electric Premium,4,F12 B12 L12 R12,"Single, Clear, Non-metal",12795.4829237192,Single-Family Detached,3,,<1940,Room AC,Wood Frame,Composition Shingles,,Vented Attic
28,1000-1499,Natural Gas,"Wood Stud, Uninsulated",65F,55104,6 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1960s,80F,34198,Unheated Basement,"Fuel Furnace, 60% AFUE",2,EF 19.9,Natural Gas Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",51329.6395142436,Single-Family Detached,2,,1960-79,Room AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,
29,2000-2499,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",70F,32325,10 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Renter,<1940,70F,34365,Unheated Basement,"Fuel Furnace, 92.5% AFUE",4,,Natural Gas Standard,3,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",44387.9581461444,Multi-Family with 2 - 4 Units,2,2.0,<1940,Central AC,Brick,"Asphalt Shingles, Medium",,
30,1500-1999,Natural Gas,"Wood Stud, R-19",65F,92315,10 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,76F,35139,Ambient,"Fuel Furnace, 80% AFUE",3,EF 10.5,Natural Gas Premium,2,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",26539.0507594455,Mobile Home,1,,1980-99,Central AC,Wood Frame,Slate,,
31,1000-1499,Natural Gas,"Wood Stud, Uninsulated",65F,42184,6 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,65F,35310,Unheated Basement,"Fuel Furnace, 80% AFUE",1,EF 17.6,Natural Gas Premium,3,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",27451.6740719618,Single-Family Attached,1,,<1940,Room AC,Wood Frame,"Tile, Clay or Ceramic",,Vented Attic
32,2500-2999,Other Fuel,"Wood Stud, R-19",68F,108692,6 ACH50,"20% Leakage to Outside, R-6",Non-Ducted Heating,Owner,2010s,65F,35769,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 17.6,Fuel Oil Standard,5,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",17756.5899995946,Single-Family Detached,2,,2010s,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,Vented Attic
33,2000-2499,Propane,"Wood Stud, R-19",68F,89096,10 ACH50,"20% Leakage to Outside, R-8",Ducted Heating,Owner,2010s,70F,37051,Slab,"Fuel Furnace, 80% AFUE",2,EF 19.9,Propane Standard,4,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",50686.6415862858,Single-Family Detached,2,,2010s,Central AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
34,3000-3999,Fuel Oil,"Wood Stud, R-15",68F,92315,8 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,75F,41951,Unheated Basement,"Fuel Furnace, 80% AFUE",3,EF 17.6,Fuel Oil Premium,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",62683.7989148559,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,
35,1500-1999,Natural Gas,"Wood Stud, R-19",72F,280058,5 ACH50,"30% Leakage to Outside, R-6",Ducted Heating,Owner,2000s,65F,43246,Unheated Basement,"Fuel Furnace, 80% AFUE",2,EF 19.9,Natural Gas Standard,3,F9 B9 L9 R9,"Double, Clear, Metal, Air",31264.5286949024,Single-Family Detached,2,,2000-09,Room AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
36,1000-1499,Natural Gas,"Wood Stud, Uninsulated",72F,74909,15 ACH50,,Non-Ducted Heating,Owner,1950s,67F,43442,Unheated Basement,"Fuel Boiler, 80% AFUE",3,EF 15.9,Natural Gas Standard,4,F12 B12 L12 R12,"Single, Clear, Non-metal",38425.4272234905,Single-Family Detached,1,,1940-59,Room AC,Wood Frame,Composition Shingles,1 Car,
37,2500-2999,Electricity,"Wood Stud, Uninsulated",70F,150186,7 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heat Pump,Owner,1960s,75F,44040,Vented Crawlspace,"ASHP, SEER 15, 8.5 HSPF",1,EF 17.6,Electric Standard,5,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",44237.0265450057,Single-Family Detached,2,,1960-79,Ducted Heat Pump,Wood Frame,Composition Shingles,2 Car,
38,1500-1999,Propane,"Wood Stud, Uninsulated",70F,87842,10 ACH50,,Non-Ducted Heating,Owner,<1940,60F,44766,Unheated Basement,"Fuel Boiler, 80% AFUE",1,EF 19.9,Propane Standard,3,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",38045.020974407,Single-Family Detached,1,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
39,750-999,Electricity,"Wood Stud, Uninsulated",68F,92315,7 ACH50,,Non-Ducted Heating,Owner,<1940,70F,45364,Slab,"Electric Baseboard, 100% Efficiency",3,EF 17.6,Electric Tankless,2,F6 B6 L6 R6,"Double, Clear, Non-metal, Air",19990.3776964472,Single-Family Detached,1,,<1940,Room AC,Wood Frame,Slate,,Vented Attic
40,1500-1999,Electricity,"Brick, 12-in, 3-wythe, Uninsulated",70F,89096,8 ACH50,,Non-Ducted Heating,Owner,1960s,70F,45661,Slab,"Electric Baseboard, 100% Efficiency",2,EF 19.9,Electric Standard,3,F12 B12 L12 R12,"Single, Clear, Non-metal",24507.1890299415,Multi-Family with 5+ Units,3,10.0,1960-79,Room AC,Brick,"Asphalt Shingles, Medium",,
41,2500-2999,Propane,"Wood Stud, R-19",68F,89096,7 ACH50,"30% Leakage to Outside, R-8",Ducted Heating,Owner,2010s,78F,50186,Slab,"Fuel Furnace, 80% AFUE",2,EF 19.9,Propane Tankless,4,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",45529.7630355354,Single-Family Detached,2,,2010s,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,Vented Attic
42,4000+,Fuel Oil,"Wood Stud, Uninsulated",75F,64514,8 ACH50,,Non-Ducted Heating,Owner,<1940,70F,50361,Unheated Basement,"Fuel Wall/Floor Furnace, 68% AFUE",6,EF 19.9,Fuel Oil Standard,5,F15 B15 L15 R15,"Double, Clear, Metal, Air",177574.692128051,Single-Family Detached,3,,<1940,,Wood Frame,Composition Shingles,,
43,2500-2999,Natural Gas,"Wood Stud, Uninsulated",68F,149501,15 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,80F,53086,Unheated Basement,"Fuel Furnace, 80% AFUE",3,EF 21.9,Natural Gas Standard,4,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",71483.8439389172,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,
44,1500-1999,Fuel Oil,"Wood Stud, R-19",68F,55104,20 ACH50,,Non-Ducted Heating,Owner,1990s,75F,54086,Ambient,"Fuel Wall/Floor Furnace, 68% AFUE",2,EF 19.9,Electric Standard,4,F15 B15 L15 R15,"Double, Clear, Non-metal, Air",47050.508818659,Mobile Home,1,,1980-99,,Wood Frame,Composition Shingles,,
45,500-749,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",72F,4187,10 ACH50,"30% Leakage to Outside, Uninsulated",Non-Ducted Heating,Renter,<1940,67F,55142,Vented Crawlspace,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 6.7,Natural Gas Premium,2,F18 B18 L18 R18,"Single, Clear, Metal",26017.0911834688,Multi-Family with 5+ Units,6,10.0,<1940,Central AC,Brick,"Asphalt Shingles, Medium",,
46,1000-1499,Natural Gas,"Brick, 12-in, 3-wythe, R-11",55F,0,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1980s,65F,55240,Heated Basement,"Fuel Furnace, 76% AFUE",0,EF 19.9,Natural Gas Standard,3,F6 B6 L6 R6,"Double, Clear, Non-metal, Air",9941.26377131195,Single-Family Detached,1,,1980-99,Room AC,Brick,Composition Shingles,1 Car,
47,1500-1999,Other Fuel,"Wood Stud, R-11",67F,32204,10 ACH50,,Non-Ducted Heating,Owner,1990s,60F,56150,Unvented Crawlspace,"Fuel Wall/Floor Furnace, 60% AFUE",1,EF 21.9,Electric Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",5046.97689943583,Single-Family Detached,2,,1980-99,,Wood Frame,Composition Shingles,2 Car,Vented Attic
48,1000-1499,Fuel Oil,"Wood Stud, Uninsulated",70F,22223,20 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1960s,65F,56299,Heated Basement,"Fuel Furnace, 92.5% AFUE",1,EF 19.9,Fuel Oil Standard,3,F18 B18 L18 R18,"Single, Clear, Non-metal",34716.6128304611,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Composition Shingles,,Vented Attic
49,1000-1499,Electricity,"Wood Stud, R-19",55F,0,20 ACH50,,Non-Ducted Heating,Not Available,1990s,68F,56341,Slab,Shared Heating,0,EF 19.9,Electric Standard,3,F18 B18 L18 R18,"Single, Clear, Metal",3929.78997993932,Multi-Family with 5+ Units,3,67.0,1980-99,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
50,1500-1999,Electricity,"Wood Stud, R-19",70F,4229,5 ACH50,,Non-Ducted Heating,Renter,2010s,65F,56805,Slab,Shared Heating,3,EF 17.6,Electric Standard,2,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",23535.0722901803,Multi-Family with 2 - 4 Units,2,2.0,2010s,Room AC,Wood Frame,Composition Shingles,,
51,3000-3999,Other Fuel,"Wood Stud, Uninsulated",75F,267342,20 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,60F,57119,Unheated Basement,"Fuel Furnace, 60% AFUE",3,EF 19.9,Fuel Oil Premium,5,F6 B6 L6 R6,"Double, Clear, Non-metal, Air, Exterior Clear Storm",9834.29283069908,Single-Family Detached,2,,<1940,Room AC,Wood Frame,Composition Shingles,,Unvented Attic
52,500-749,Natural Gas,"Wood Stud, Uninsulated",72F,55104,25 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1940s,70F,57646,Slab,"Fuel Furnace, 80% AFUE",2,EF 19.9,Electric Standard,2,F12 B12 L12 R12,"Single, Clear, Non-metal",20564.5039229146,Multi-Family with 2 - 4 Units,2,4.0,1940-59,Room AC,Wood Frame,"Tile, Concrete",,
53,1500-1999,Propane,"Wood Stud, R-19",65F,89096,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,2010s,76F,57693,Heated Basement,"Fuel Furnace, 80% AFUE",2,EF 19.9,Propane Tankless,3,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",30324.9428439303,Single-Family Detached,1,,2010s,Central AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
54,1500-1999,Natural Gas,"Wood Stud, Uninsulated",70F,89096,50 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1960s,68F,58658,Vented Crawlspace,"Fuel Furnace, 92.5% AFUE",2,EF 17.6,Natural Gas Standard,3,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",82226.36401608,Single-Family Detached,1,,1960-79,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
55,3000-3999,Propane,"Wood Stud, Uninsulated",68F,85012,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,76F,58681,Heated Basement,"Fuel Furnace, 92.5% AFUE",5,EF 17.6,Propane Standard,3,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",71745.2633335108,Single-Family Detached,2,,<1940,Central AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,Vented Attic
56,2500-2999,Natural Gas,"Wood Stud, Uninsulated",72F,110733,15 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,75F,59156,Vented Crawlspace,"Fuel Furnace, 80% AFUE",4,EF 19.9,Natural Gas Standard,3,F15 B15 L15 R15,"Double, Clear, Non-metal, Air",116360.644630108,Single-Family Detached,2,,<1940,,Wood Frame,Composition Shingles,,Vented Attic
57,4000+,Fuel Oil,"Wood Stud, Uninsulated",72F,149501,7 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,60F,61315,Unheated Basement,"Fuel Furnace, 80% AFUE",5,EF 19.9,Natural Gas Standard,5,F15 B15 L15 R15,"Double, Clear, Non-metal, Air, Exterior Clear Storm",92876.2736350684,Single-Family Detached,2,,<1940,Room AC,Wood Frame,Composition Shingles,2 Car,Finished Attic or Cathedral Ceilings
58,3000-3999,Natural Gas,"Wood Stud, Uninsulated",68F,37492,20 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,72F,62164,Unheated Basement,"Fuel Furnace, 80% AFUE",2,EF 19.9,Natural Gas Standard,3,F6 B6 L6 R6,"Single, Clear, Non-metal",109709.10362148,Single-Family Detached,2,,<1940,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
59,1500-1999,Natural Gas,"Wood Stud, R-19",68F,74751,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,68F,62706,Slab,"Fuel Furnace, 92.5% AFUE",1,EF 17.6,Natural Gas Standard,2,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",30871.5203898015,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,Composition Shingles,,
60,2500-2999,Propane,"Wood Stud, R-19",70F,108692,4 ACH50,"10% Leakage to Outside, R-6",Ducted Heating,Owner,2010s,72F,63725,Vented Crawlspace,"Fuel Furnace, 92.5% AFUE",2,EF 19.9,Propane Standard,3,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",34898.3168939678,Single-Family Detached,2,,2010s,Central AC,Wood Frame,Composition Shingles,2 Car,
61,1000-1499,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",55F,0,30 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,<1940,67F,64522,Unheated Basement,"Fuel Furnace, 80% AFUE",0,EF 19.9,Natural Gas Standard,2,F12 B12 L12 R12,"Single, Clear, Non-metal",20544.5750901429,Multi-Family with 2 - 4 Units,2,2.0,<1940,Room AC,Brick,Composition Shingles,,
62,3000-3999,Other Fuel,"Wood Stud, Uninsulated",68F,109096,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,70F,65333,Heated Basement,"Fuel Furnace, 60% AFUE",5,EF 6.7,Fuel Oil Standard,5,F12 B12 L12 R12,"Single, Clear, Non-metal",30166.6844660373,Single-Family Detached,2,,<1940,Central AC,Wood Frame,Composition Shingles,,Vented Attic
